,name,acronym,SJ0612,SJ0613,SJ0602,SJ0601,SJ0603,SJ0604,SJ0605,SJ0608,SJ0606,SJ0610,SJ0619,SJ0615,SJ0511,SJ0512,SJ0514,SJ0517,SJ0519,SJ0516,SJ0513,SJ0520,SJ0518,SJ0503,SJ0502
0,background,bkd,236.28970112917744,69.14523547362607,93.38630766898592,31.97311368048199,46.72960549984156,205.8232562831045,237.51905141152264,119.094023340725,28.570958247945345,104.75779778067876,183.73926499013876,134.6095674855791,49.88732035298167,142.79761215682694,207.9717603230636,114.17948116548928,79.84487136124658,114.99714205095609,120.93233085595278,78.63696323498881,56.82886101701442,132.19661018720856,132.1923217559911
1,left root,root-L,1222.6440315665568,770.4347535926494,1589.697016934988,37.28899744980352,409.202820182137,551.5496533789668,827.8962261026469,401.7322709548283,206.51785498618077,362.8017448214776,1494.5720234405917,1007.097768820866,9727.479842590548,6137.440674500949,7432.682507385261,6296.206778826173,4698.035170847726,7032.189351528936,6375.9245115941685,7365.515297319144,4064.903135613628,2553.5851290251007,2862.523217844453
2,left Basic cell groups and regions,grey-L,1254.0421045074047,812.6925184368275,1558.7800929848918,39.62279535170156,423.4104645432139,529.4868187918865,851.2867863442946,382.72352174920906,207.61561124334108,353.33702334250825,1565.9263550974304,1045.8654782944811,10331.420149843314,6629.139885576322,8050.15073103089,6776.75361007289,4947.973931727039,7524.323867040565,6890.394761411409,7840.081792420565,4388.5039795608,2711.269582998352,3082.2830303824667
3,left Cerebrum,CH-L,1472.0032343750247,896.1321887622238,1899.3395955535505,35.737668435314426,561.9255228041343,562.8465219703852,1078.1854412784846,422.7966330047212,254.62363563967628,282.73949207711826,1813.8027044832309,861.0617008252959,14493.19097429882,8873.906738409722,11137.418106653244,9388.353666399324,6354.596916692407,10193.401213207908,9214.850477009128,10704.345443580982,5753.42377587449,3827.367952537722,4029.886241645797
4,left Cerebral cortex,CTX-L,1646.269211978577,962.3808287015884,2069.7503647248022,41.398257757482455,684.1502261286719,583.3678154222337,1236.7740791377696,479.7954239857928,297.6611479805723,320.3602145023413,2000.9398691152549,860.5239593968643,16589.577554085856,10498.83292295768,13244.56221102587,11001.201006571326,7350.163602404609,12002.190112300394,10814.931419322282,12620.057980697837,6649.047765299643,4389.506478423853,4523.849919464983
5,left Cortical plate,CTXpl-L,1642.7319815916662,964.9355900872278,2028.328043928591,42.26702549659184,709.3390882527297,587.759066548311,1240.1181028462538,471.061436616145,298.71018486385054,318.2115300351025,2026.0891051197352,869.2162523556849,17082.105937141852,10732.879989381505,13156.45599152049,11210.34780132887,7466.748039862871,12192.291800518666,10931.317700448742,12771.894732834717,6703.777900562719,4358.828161299432,4252.864267421485
6,left Isocortex,Isocortex-L,1059.5894851361593,976.4774278181284,1974.3089101912217,25.54048774279196,701.1464265349684,515.1909058663562,1220.4426331630314,469.756747238772,367.8381935459663,265.4003923259881,2029.1868832192536,945.7606912888368,19133.070616396,11435.534329284572,15395.672954176152,12922.302264431368,7951.188704135143,14687.84121572884,13454.157770622913,13783.847497406932,6604.682507265789,5802.509983725343,5397.513139016102
7,"left Frontal pole, cerebral cortex",FRP-L,660.2391052834555,164.54557141020695,59.64776963620002,28.79547499678622,1707.1603033808974,1583.751124823242,5170.844581565754,306.4661267515105,183.05694819385525,236.53425890217247,1227.9213266486695,678.7504820671038,14080.987273428462,13219.179843167502,17306.08047306852,8572.824270471783,1209.4099498650212,18688.263272914257,6764.879804602134,5888.674636842782,6020.311093970948,8766.165316878776,12966.191027124309
8,"left Frontal pole, layer 1",FRP1-L,741.6173570019723,410.2564102564103,86.78500986193293,86.78500986193293,3676.5285996055222,3968.4418145956606,3928.994082840237,181.4595660749507,126.232741617357,260.35502958579883,1554.240631163708,465.4832347140039,1017.7514792899408,6082.84023668639,7629.191321499014,1001.9723865877712,47.33727810650888,19495.069033530574,1822.485207100592,3226.8244575936883,1388.560157790927,3108.481262327416,2982.248520710059
9,"left Frontal pole, layer 2/3",FRP2/3-L,495.59412550066753,34.17890520694259,76.90253671562083,25.63417890520694,2076.368491321762,709.2122830440587,7767.156208277704,196.5287049399199,324.6995994659546,205.07343124165556,1461.1481975967956,982.6435246995994,13227.236315086782,19994.65954606141,28154.87316421896,15551.401869158875,974.0987983978638,21190.921228304403,8416.555407209613,1358.611481975968,7750.066755674232,3657.142857142857,11586.648865153538
