name,1sn_GFP_SJ0503,1sn_GFP_SJ0510,1sn_GFP_SJ0514,1sn_GFP_SJ0516,1sn_GFP_SJ0519,1sn_GFP_SJ0520,cTBS_1sn_ChR_SJ0502,cTBS_1sn_ChR_SJ0511,cTBS_1sn_ChR_SJ0512,cTBS_1sn_ChR_SJ0517,cTBS_30sn_ChR_new_SJ0904,cTBS_30sn_ChR_new_SJ0908,cTBS_30sn_ChR_new_SJ0912,cTBS_30sn_ChR_new_SJ0914,cTBS_30sn_ChR_new_SJ0916,cTBS_30sn_ChR_new_SJ0920,cTBS_30sn_GFP_new_SJ0902,cTBS_30sn_GFP_new_SJ0906,cTBS_30sn_GFP_new_SJ0910,cTBS_30sn_GFP_new_SJ0918,iTBS_1sn_ChR_SJ0507,iTBS_1sn_ChR_SJ0508,iTBS_1sn_ChR_SJ0513,iTBS_1sn_ChR_SJ0518,iTBS_30sn_ChR_SJ0602,iTBS_30sn_ChR_SJ0603,iTBS_30sn_ChR_SJ0605,iTBS_30sn_ChR_SJ0612,iTBS_30sn_ChR_SJ0619,iTBS_30sn_ChR_new_SJ0903,iTBS_30sn_ChR_new_SJ0905,iTBS_30sn_ChR_new_SJ0909,iTBS_30sn_ChR_new_SJ0913,iTBS_30sn_ChR_new_SJ0917,iTBS_30sn_ChR_new_SJ0919,iTBS_30sn_GFP_new_SJ0901,iTBS_30sn_GFP_new_SJ0907,iTBS_30sn_GFP_new_SJ0911,iTBS_30sn_GFP_new_SJ0915,iTBS_30sn_YFP_SJ0601,iTBS_30sn_YFP_SJ0604,iTBS_30sn_YFP_SJ0606,iTBS_30sn_YFP_SJ0610,iTBS_30sn_YFP_SJ0613,iTBS_30sn_YFP_SJ0615
background,132.19661018720856,312.7324170578874,207.9717603230636,114.99714205095609,79.84487136124658,78.63696323498881,132.1923217559911,49.88732035298167,142.79761215682694,114.17948116548928,185.14301147532825,181.5578829775123,192.5119657840368,192.460504609427,159.35667456460197,246.88927362172333,190.5993254610393,215.19061953916028,131.74918386351783,187.89475483987997,273.7048340246456,228.0287531272324,120.93233085595278,56.82886101701442,93.38630766898592,46.72960549984156,237.51905141152264,236.28970112917744,183.73926499013876,103.91440630790709,99.42298934612973,123.8556114692038,172.70370199048205,192.17603867200063,98.92981975611916,373.4037124457667,115.41454935612444,130.44978920462043,342.3025797795063,31.97311368048199,205.8232562831045,28.570958247945345,104.75779778067876,69.14523547362607,134.6095674855791
left Abducens nucleus,591.3757700205339,0.0,2102.669404517454,6308.008213552362,262.83367556468176,2036.9609856262837,2956.8788501026693,4073.921971252567,6505.133470225873,2825.4620123203285,328.5420944558522,919.917864476386,722.7926078028747,1379.876796714579,591.3757700205339,722.7926078028747,2694.045174537988,1839.835728952772,854.2094455852156,1117.0431211498974,197.1252566735113,0.0,3811.088295687885,1774.1273100616015,591.3757700205339,262.83367556468176,394.2505133470226,4336.755646817249,1379.876796714579,3022.58726899384,0.0,197.1252566735113,919.917864476386,1117.0431211498974,591.3757700205339,10381.930184804927,657.0841889117044,328.5420944558522,7950.718685831623,0.0,262.83367556468176,0.0,0.0,1051.334702258727,854.2094455852156
left Accessory facial motor nucleus,0.0,723.1638418079096,0.0,7231.638418079096,1084.7457627118645,723.1638418079096,0.0,0.0,1807.909604519774,361.5819209039548,361.5819209039548,11932.203389830507,1084.7457627118645,361.5819209039548,0.0,723.1638418079096,723.1638418079096,361.5819209039548,0.0,0.0,0.0,0.0,5423.728813559323,1084.7457627118645,3254.237288135593,0.0,0.0,0.0,0.0,1084.7457627118645,1807.909604519774,0.0,361.5819209039548,1446.3276836158193,0.0,3254.237288135593,0.0,0.0,3615.819209039548,0.0,0.0,0.0,0.0,0.0,361.5819209039548
left Accessory olfactory bulb,6946.641074856047,2677.9270633397314,5521.68905950096,10401.535508637236,5309.78886756238,24847.60076775432,14854.51055662188,39259.88483685221,26849.90403071017,23831.09404990403,11375.047984644914,17676.775431861803,12784.64491362764,12026.103646833011,10180.42226487524,27301.343570057583,7849.520153550864,22166.602687140115,8405.374280230326,4671.0172744721685,4508.253358925144,838.3877159309021,6915.930902111324,10183.493282149711,374.66410748560463,2453.742802303263,1639.9232245681385,1673.7044145873322,1209.9808061420345,21079.46257197697,4879.8464491362765,11028.02303262956,19593.09021113244,9114.779270633397,9990.019193857965,42647.21689059501,8288.675623800384,10524.376199616125,84753.93474088292,3.071017274472169,2358.5412667946257,135.12476007677543,337.8119001919386,1424.9520153550864,991.9385796545106
"left Accessory olfactory bulb, glomerular layer",9222.312045270815,3906.2247372675824,3996.766370250606,27938.56103476152,271.6248989490703,11304.769603880355,38506.06305578011,10787.388843977364,2418.755052546483,7463.217461600646,3427.647534357316,1435.7316087308002,2160.064672594988,5005.658852061439,11149.555375909458,21574.777687954727,426.8391269199676,3608.7308003233625,1099.434114793856,504.4462409054163,8252.223120452707,271.6248989490703,1655.6184316895717,3479.385610347615,116.410670978173,1888.4397736459173,2069.523039611964,2949.0703314470493,1565.076798706548,4216.653193209378,4203.718674211803,9261.11560226354,9571.544058205334,866.6127728375101,10593.371059013742,4229.587712206952,1021.8270008084072,9015.35974130962,26464.025869037992,0.0,4798.706548100242,245.75586095392077,129.34518997574776,1474.5351657235246,362.1665319320937
"left Accessory olfactory bulb, granular layer",6208.481066515388,4238.831371436676,7751.524606438803,7433.839171748688,11209.75748120834,35580.76868529287,1642.8875336831654,70426.32250744574,48070.3446319671,37042.121684867394,17309.317827258543,19406.041696213302,17681.46362218125,10129.627003261949,9448.87250035456,26077.435824705717,13960.00567295419,51601.19132038009,16537.796057296837,8423.20238264076,2350.87221670685,1361.509005814778,13442.632250744577,15094.596511133172,508.2966955041838,2123.9540490710538,1570.2737200397107,235.9948943412282,1406.8926393419372,29699.049780173023,4656.360799886541,9984.39937597504,24725.00354559637,25623.599489434124,9766.557935044675,69391.57566302652,11681.747269890797,7442.91589845412,125467.59324918452,0.0,807.828676783435,72.61381364345483,689.8312296128208,2051.340235427599,1479.506452985392
"left Accessory olfactory bulb, mitral layer",6261.735097839612,745.6170116502659,4596.765071824455,2953.512046148626,3424.0470535007357,23866.98337292162,12154.281189910644,30338.6494740414,23599.14036873657,22455.37835086529,11090.148173283564,25387.173396674585,14825.472231648006,17467.707272932927,10221.46815971044,31482.41149191268,7130.415111412736,9077.70614183916,6008.370093880783,4010.406062662595,4133.469064585454,738.3780115371565,4654.67707272933,10018.776156543378,412.6230064472345,3033.141047392829,1455.0390227349849,2106.549032914829,854.2020133469065,23642.574369415222,5436.489084945142,12849.225200769144,21108.924329826943,564.6420088225315,9830.562153602534,42818.685669041966,9649.5871507748,13826.49021603891,84906.23232665988,7.239000113109378,2229.612034837688,123.0630019228594,173.73600271462504,897.6360140255628,955.5480149304378
left Accessory supraoptic group,0.0,984.6153846153844,9846.153846153846,20348.71794871795,7220.51282051282,13784.615384615385,1641.0256410256409,22317.94871794872,9846.153846153846,8205.128205128205,6235.897435897436,11158.97435897436,14769.23076923077,9846.153846153846,6235.897435897436,15097.435897435897,9189.74358974359,27569.23076923077,21005.128205128203,3610.25641025641,6564.102564102564,4266.666666666667,15097.435897435897,17723.076923076922,2297.435897435897,0.0,984.6153846153844,656.4102564102564,5251.282051282051,20020.51282051282,8533.333333333334,15753.846153846152,16738.46153846154,18379.48717948718,6892.307692307692,0.0,10174.358974358976,12471.794871794871,31835.897435897437,0.0,328.2051282051282,328.2051282051282,0.0,1641.0256410256409,656.4102564102564
left Accessory trigeminal nucleus,1658.7473002159827,0.0,1244.060475161987,2349.8920086393086,1658.7473002159827,1382.289416846652,0.0,1658.7473002159827,1105.8315334773215,691.144708423326,2902.80777537797,1105.8315334773215,2349.8920086393086,2211.6630669546435,3455.7235421166306,3179.2656587473,1658.7473002159827,2626.349892008639,276.45788336933043,552.9157667386609,138.22894168466522,0.0,829.3736501079914,691.144708423326,691.144708423326,0.0,0.0,0.0,1382.289416846652,2349.8920086393086,1244.060475161987,552.9157667386609,967.6025917926564,7049.676025917926,829.3736501079914,2349.8920086393086,1935.205183585313,4423.326133909287,4423.326133909287,0.0,276.45788336933043,0.0,0.0,0.0,691.144708423326
left Agranular insular area,6397.06312849604,3958.193887319709,12639.434145878333,10914.022137301909,3822.996526706384,7153.05436218778,9851.178467161948,8215.89803232774,7537.885800637693,13031.354584510218,33514.51425316276,4451.89211427848,4292.895967339963,3830.085526888356,1454.510930193919,4204.53664364324,4027.0584605160097,8578.449755920026,3208.53211807616,1569.9603617288933,8612.375685362322,6866.96256912962,10209.679333507394,4357.203326133567,869.4152366032929,291.6617217725665,840.0465215636942,4101.492962426717,1380.582785439067,4089.593569264121,1263.3611038585998,2119.6110544096587,2938.896932583292,5880.32565094586,2043.4043024534587,15738.086761133924,2813.067179353287,2336.0787385377357,35055.359078429974,19.494750500423283,806.1205921213991,172.9209687245338,207.353255322684,571.424050382537,665.8596599495226
