name,1sn_GFP_SJ0503,1sn_GFP_SJ0510,1sn_GFP_SJ0514,1sn_GFP_SJ0516,1sn_GFP_SJ0519,1sn_GFP_SJ0520,cTBS_1sn_ChR_SJ0502,cTBS_1sn_ChR_SJ0511,cTBS_1sn_ChR_SJ0512,cTBS_1sn_ChR_SJ0517,cTBS_30sn_ChR_new_SJ0904,cTBS_30sn_ChR_new_SJ0908,cTBS_30sn_ChR_new_SJ0912,cTBS_30sn_ChR_new_SJ0914,cTBS_30sn_ChR_new_SJ0916,cTBS_30sn_ChR_new_SJ0920,cTBS_30sn_GFP_new_SJ0902,cTBS_30sn_GFP_new_SJ0906,cTBS_30sn_GFP_new_SJ0910,cTBS_30sn_GFP_new_SJ0918,iTBS_1sn_ChR_SJ0507,iTBS_1sn_ChR_SJ0508,iTBS_1sn_ChR_SJ0513,iTBS_1sn_ChR_SJ0518,iTBS_30sn_ChR_SJ0602,iTBS_30sn_ChR_SJ0603,iTBS_30sn_ChR_SJ0605,iTBS_30sn_ChR_SJ0612,iTBS_30sn_ChR_SJ0619,iTBS_30sn_ChR_new_SJ0903,iTBS_30sn_ChR_new_SJ0905,iTBS_30sn_ChR_new_SJ0909,iTBS_30sn_ChR_new_SJ0913,iTBS_30sn_ChR_new_SJ0917,iTBS_30sn_ChR_new_SJ0919,iTBS_30sn_GFP_new_SJ0901,iTBS_30sn_GFP_new_SJ0907,iTBS_30sn_GFP_new_SJ0911,iTBS_30sn_GFP_new_SJ0915,iTBS_30sn_YFP_SJ0601,iTBS_30sn_YFP_SJ0604,iTBS_30sn_YFP_SJ0606,iTBS_30sn_YFP_SJ0610,iTBS_30sn_YFP_SJ0613,iTBS_30sn_YFP_SJ0615
background,-0.24431593966536466,1.7425192477679465,0.5896058026890623,-0.43359976701559694,-0.8204580281832801,-0.833751315592767,-0.2443631347685935,-1.1501472876396315,-0.12764964448340635,-0.4425983000312498,0.10727476310628851,0.005652437942710135,0.3161515917419502,0.3146928980793155,-0.623652319679108,1.8575045619263553,0.26193681061401336,0.9589897850115506,-1.4062009504144242,0.18527435478885942,1.313012344982371,0.8103373004908504,-0.36828174414673354,-1.0737541472130416,-0.03578776464237307,-0.7237686325106893,2.0895354047652206,2.0714079025020764,1.2965204162256887,-1.000845795335546,-1.0337830269864288,-0.8546095185914936,-0.49638829644828447,-0.3535904067129807,-1.0373996230779485,0.9754195523790801,-0.9165109676361982,-0.806251959837349,0.7473433750944669,-0.9413618951414264,1.6221620237411636,-0.9915287037301268,0.13189163129170708,-0.39323681508236535,0.5720737589210481
left Abducens nucleus,-0.5511083181370944,-0.803310429826951,0.0934081895147617,1.8868454281981868,-0.6912206024092369,0.0653857326603332,0.4577001286223323,0.9340818951476172,1.9709127987614723,0.4016552149134753,-1.5733015066677876,-0.8563539846419604,-1.0953364919839028,-0.298728134177428,-1.2546581635451974,-1.0953364919839028,1.2944885814355216,0.258897716287104,-0.9360148204226079,-0.6173714773000178,-0.7192430592636654,-0.803310429826951,0.821992067729903,-0.04670409475738104,0.4858300407718501,-0.20821287461650725,0.06940429153883568,8.397919276199126,2.1515330377039077,-0.3538361826434288,-0.9457076154288008,-0.9071073045949722,-0.7655728315376007,-0.726972520703772,-0.829906682927315,1.0872420884861722,-0.817039912649372,-0.8813737640390865,0.6111715882022863,-0.7634472069271933,-0.20821287461650725,-0.7634472069271933,-0.7634472069271933,1.4574901223155505,1.041064373082536
left Accessory facial motor nucleus,-0.5853542465111442,-0.32519680361730235,-0.5853542465111442,2.0162201824272743,-0.1951180821703814,-0.32519680361730235,-0.5853542465111442,-0.5853542465111442,0.06503936072346043,-0.4552755250642233,0.2611164839335468,33.684026427427526,2.350048355401921,0.2611164839335468,-0.7833494518006403,1.305582419667734,1.305582419667734,0.2611164839335468,-0.7833494518006403,-0.7833494518006403,-0.5853542465111442,-0.5853542465111442,1.3658265751926701,-0.1951180821703814,21.63715939458474,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,-0.3181818181818181,0.04545454545454543,-0.8636363636363636,-0.6818181818181818,-0.1363636363636363,-0.8636363636363636,0.7727272727272727,-0.8636363636363636,-0.8636363636363636,0.9545454545454545,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,2.041241452319315
left Accessory olfactory bulb,-0.2910474217584059,-0.8225419471503715,-0.4684671769971629,0.13911901066314877,-0.494850718185685,1.9377882534284767,0.6935557457842638,3.7322514244101272,2.187093599151902,1.8112237297560012,0.07744955898084953,0.8882990234130078,0.258823781288043,0.16122153093972713,-0.0762641065474691,2.126701665484346,-0.3761835721926974,1.4660095092803647,-0.3046612753787497,-0.7851646617089179,-0.5946493305074856,-1.051581674279715,-0.29487112337993104,0.11197072915032161,-0.5519015814229556,1.7403522260822042,0.8430889188608346,0.8803338108587025,0.36906302070614827,-0.43269250212591226,-0.8856724969091795,-0.7137547813535204,-0.4742550267657418,-0.7672536508795822,-0.7427798502135669,0.17039347007558264,-0.790353483788909,-0.7278379508595784,1.3477979645729052,-0.9615953933995056,1.6353893486336666,-0.8160017246805663,-0.5925323726933572,0.6060759697834913,0.12866417235627198
"left Accessory olfactory bulb, glomerular layer",-0.021993439546994245,-0.5589817754171685,-0.5498359886748542,1.868571334185712,-0.9261197860729325,0.18835965552623715,2.9360153011101224,0.13609801699872623,-0.7092339861837624,-0.19968301054053125,1.3484400231804028,0.01728769260487706,0.5013430855414321,2.402989272077897,6.508816265736173,13.475756385501585,-0.6569323189853241,1.469453871414541,-0.20745231125852334,-0.6050692411706933,-0.11998401178607716,-0.9261197860729325,-0.786319903011841,-0.602097627202365,-0.5668927096080831,0.3879962397727455,0.4855761324102024,0.9595356109349934,0.2137464314915725,-0.5260937484823387,-0.527234331134875,-0.08126651399320677,-0.05389253033233718,-0.8215046554892238,0.03621349921802545,-0.5249531658298026,-0.807817663658789,-0.10293758439139526,1.435708413879987,-0.6296226405893054,1.9562445143033034,-0.4971927862956138,-0.5599227172768362,0.16495648517284403,-0.4344628553143915
"left Accessory olfactory bulb, granular layer",-0.499255654219024,-0.6670055540366161,-0.36783868201169384,-0.39489511746614414,-0.07331005606467729,2.0023050637981554,-0.8880952837501245,4.970009512644864,3.066009497664546,2.1267646668886266,-0.2713775785106105,-0.16444671175419082,-0.25239850692180865,-0.6375347889189564,-0.6722526028009108,0.1757878642889627,-0.44218922280982625,1.4774744327697071,-0.3107244342434921,-0.7245607757163889,-0.8277980847373495,-0.9120595551526377,0.11685803312945936,0.25755149749260087,-0.42777995413645964,1.5937642539066323,0.9009878680042246,-0.7684896521212505,0.69656204921335,-0.4273614856586484,-0.8770955712626193,-0.781410936159491,-0.5166888792472587,-0.5005512661719441,-0.7853230847838096,0.2854645949307554,-0.7509287781283411,-0.8270526701098758,1.2925168533074616,-1.063771390374736,-0.052999286353189734,-0.9729154709121249,-0.20064015547993244,1.5029083344440217,0.7874179686759606
"left Accessory olfactory bulb, mitral layer",-0.08413907640350674,-0.73504238827632,-0.28060595531524823,-0.47451022276292365,-0.41898697437482274,1.9932846171328211,0.611182834179787,2.7569428334245463,1.9616790757426714,1.8267148719685184,2.1395423806780802,8.887001385610953,3.9024228093086446,5.149421562119023,1.7295701879732992,11.763639604422838,0.27075246893211624,1.1897734675786702,-0.2587949466448936,-1.2017309898658923,-0.3352749998819938,-0.7358965920976754,-0.2737723247444051,0.3591927068799447,-0.3791863743046696,2.7404833415655667,0.8617872143287947,1.6373957072247096,0.14650382643589502,-0.4080535903136316,-0.9327907906913808,-0.7191403361439394,-0.48107864802027656,-1.073207544510158,-0.8061444763258564,0.1446417750146619,-0.8113605518763309,-0.6909735281713763,1.3576923050330454,-0.8617872143287947,1.7838995336606047,-0.7239012600361875,-0.6635761550331718,0.19821105929562272,0.26715403644192637
left Accessory supraoptic group,-1.1223374072022105,-0.9952803422359225,0.1482332424606694,1.5035086021010748,-0.1905855974494319,0.6564615023258215,-0.9105756322583973,1.7576227320336508,0.1482332424606694,-0.0635285324831439,-0.8348303420320644,-0.38357069769040786,-0.052646958506526446,-0.503906602848183,-0.8348303420320644,-0.022562982217082785,-0.5640745554270705,1.1206281167817804,0.5189485909929049,-1.0755021523476145,-0.2752903074269572,-0.5717567923482959,0.825870922280872,1.1646897621909733,2.939873661036668,-0.8017837257372731,0.8017837257372731,0.26726124191242445,7.750576015460307,0.48127369082699034,-0.382550882452223,0.16042456360899668,0.23446666989007225,0.3578701803585313,-0.5059543929206821,-1.02424913688821,-0.25914737198376386,-0.08638245732792138,1.3697789661998956,-0.8017837257372731,-0.2672612419124243,-0.2672612419124243,-0.8017837257372731,1.8708286933869709,0.26726124191242445
left Accessory trigeminal nucleus,0.3557840334824102,-1.7789201674120498,-0.17789201674120497,1.245244117188435,0.3557840334824102,0.0,-1.7789201674120498,0.3557840334824102,-0.3557840334824102,-0.8894600837060249,1.505462011700412,-0.16015553315961845,0.9929643055896332,0.8648398790619386,2.0179597178111903,1.761710864755801,0.3523421729511603,1.2492131586450224,-0.9289020923257859,-0.6726532392703967,-1.601028150670845,-1.7789201674120498,-0.7115680669648199,-0.8894600837060249,1.8779421361337698,-0.5715476066494083,-0.5715476066494083,-0.5715476066494083,4.327431878916949,-0.7027819284987272,-1.535708658571293,-2.0562878648666465,-1.7439403410894345,2.837156674309677,-1.8480561823485049,-0.7027819284987272,-1.0151294522759393,0.8589556903873335,0.8589556903873335,-0.5715476066494083,0.408248290463863,-0.5715476066494083,-0.5715476066494083,-0.5715476066494083,1.8779421361337698
left Agranular insular area,-0.2994950093200192,-0.973489968969533,1.4256186338979207,0.9487915135811517,-1.0108525048828352,-0.09057266430668492,0.6550688061578505,0.2031500431166159,0.015777625184362445,1.5339280076690662,9.720033319821267,0.035287131337242816,-0.017696295990404506,-0.17192194114158174,-0.9635517160067331,-0.047140907674081085,-0.10628323658599306,1.4104095549253384,-0.37904664510555325,-0.9250796732337918,0.312718828210682,-0.16963570846779266,0.7541424968942475,-0.863221510918289,1.4643745797990222,-0.36602680294775614,1.371330513016101,11.704034550064305,3.0838226042362464,-0.6443863679875118,-0.8284178622943407,-0.7726627325133055,-0.7193145361882229,-0.5277819821385286,-0.777624972035509,0.11411090170369007,-0.7275080014458144,-0.7585673345349541,1.371964434277078,-1.2282886287377592,1.2638485738013472,-0.7422135901993947,-0.6331274429366595,0.5202981435619677,0.8194829445104992
