animal_num,group,group_collapse
SJ0601,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0602,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0603,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0604,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0605,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0606,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0608,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0609,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0610,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0612,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0613,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0614,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0614,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0614,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0616,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0616,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0617,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0619,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0620,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0615,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0618,iTBS_30sn_YFP,iTBS_30sn_YFP
SJ0607,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0501,iTBS_1sn_GFP,1sn_GFP
SJ0502,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0503,iTBS_1sn_GFP,1sn_GFP
SJ0504,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0505,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0506,cTBS_1sn_GFP,1sn_GFP
SJ0507,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0508,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0509,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0510,cTBS_1sn_GFP,1sn_GFP
SJ0511,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0512,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0513,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0514,iTBS_1sn_GFP,1sn_GFP
SJ0515,iTBS_1sn_GFP,1sn_GFP
SJ0516,cTBS_1sn_GFP,1sn_GFP
SJ0517,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0518,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0519,cTBS_1sn_GFP,1sn_GFP
SJ0519,cTBS_1sn_GFP,1sn_GFP
SJ0520,cTBS_1sn_GFP,1sn_GFP
SJ0521,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0522,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0523,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0524,iTBS_1sn_GFP,1sn_GFP
SJ0525,cTBS_1sn_GFP,1sn_GFP
SJ0701,iTBS_1sn_ChR,iTBS_1sn_ChR
SJ0702,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0703,cTBS_1sn_ChR,cTBS_1sn_ChR
SJ0704,iTBS_1sn_FosTRAP_FLEXtdTomato,iTBS_1sn_FosTRAP_FLEXtdTomato
SJ0705,noStim_1sn_FosTRAP,noStim_1sn_FosTRAP
SJ0801,iTBS_1sn_FosTRAP_Ai9,iTBS_1sn_FosTRAP_Ai9
SJ0802,iTBS_1sn_FosTRAP_Ai9,iTBS_1sn_FosTRAP_Ai9
SJ0803,noStim_1sn_FosTRAP_Ai9,noStim_1sn_FosTRAP_Ai9
SJ0901,iTBS_30sn_GFP,iTBS_30sn_GFP
SJ0902,cTBS_30sn_GFP,cTBS_30sn_GFP
SJ0903,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0904,cTBS_30sn_ChR,cTBS_30sn_ChR
SJ0905,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0906,cTBS_30sn_GFP,cTBS_30sn_GFP
SJ0907,iTBS_30sn_GFP,iTBS_30sn_GFP
SJ0908,cTBS_30sn_ChR,cTBS_30sn_ChR
SJ0909,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0910,cTBS_30sn_GFP,cTBS_30sn_GFP
SJ0911,iTBS_30sn_GFP,iTBS_30sn_GFP
SJ0912,cTBS_30sn_ChR,cTBS_30sn_ChR
SJ0913,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0914,cTBS_30sn_ChR,cTBS_30sn_ChR
SJ0915,iTBS_30sn_GFP,iTBS_30sn_GFP
SJ0916,cTBS_30sn_ChR,cTBS_30sn_ChR
SJ0917,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0918,cTBS_30sn_GFP,cTBS_30sn_GFP
SJ0919,iTBS_30sn_ChR,iTBS_30sn_ChR
SJ0920,cTBS_30sn_ChR,cTBS_30sn_ChR
